Constraints,Num. vertices,Num. cliques,Min. gates
"Counting, small and large",8,17,9.0
"Counting, small and large",8,18,9.0
"Counting, small and large",8,19,9.0
"Counting, small and large",8,20,9.0
"Counting, small and large",8,21,9.0
"Counting, small and large",8,22,9.0
"Counting, small and large",8,23,9.0
"Counting, small and large",8,24,9.0
"Counting, small and large",8,25,9.0
"Counting, small and large",8,26,9.0
"Counting, small and large",8,27,9.0
"Counting, small and large",8,28,9.0
"Counting, small and large",8,29,9.0
"Counting, small and large",8,30,9.0
"Counting, small and large",8,31,9.0
"Counting, small and large",8,32,9.0
"Counting, small and large",8,33,9.0
"Counting, small and large",8,34,9.0
"Counting, small and large",8,35,9.0
"Counting, small and large",8,36,9.0
"Counting, small and large",8,37,9.0
"Counting, small and large",8,38,9.0
"Counting, small and large",8,39,9.0
"Counting, small and large",8,40,9.0
"Counting, small and large",8,41,9.0
"Counting, small and large",8,42,9.0
"Counting, small and large",8,43,9.0
"Counting, small and large",8,44,9.0
"Counting, small and large",8,45,8.22567172817372
"Counting, small and large",8,46,8.0
"Counting, small and large",8,47,8.0
"Counting, small and large",8,48,7.97933362534039
"Counting, small and large",8,49,9.0
"Counting, small and large",8,50,9.0
"Counting, small and large",8,51,9.0
"Counting, small and large",8,52,9.0
"Counting, small and large",8,53,9.0
"Counting, small and large",8,54,9.0
"Counting, small and large",8,55,9.0
"Counting, small and large",8,56,9.0
"Counting, small and large",8,57,9.0
"Counting, small and large",8,58,9.0
"Counting, small and large",8,59,9.0
"Counting, small and large",8,60,9.0
"Counting, small and large",8,61,9.0
"Counting, small and large",8,62,9.0
"Counting, small and large",8,63,9.0
"Counting, small and large",8,64,9.0
"Counting, small and large",8,65,9.0
"Counting, small and large",8,66,9.0
"Counting, small and large",8,67,9.0
"Counting, small and large",8,68,9.0
"Counting, small and large",8,69,9.0
"Counting, small and large",8,70,2.0
